itemid,categoryid,parentid,available
134863,1119,125.0,0.0
290275,330,986.0,0.0
395435,707,561.0,1.0
233938,646,1606.0,1.0
106350,1477,206.0,1.0
455390,1126,905.0,0.0
363676,84,1308.0,1.0
93982,1393,1383.0,0.0
309652,1197,777.0,1.0
77392,337,653.0,1.0
395857,683,1606.0,1.0
417912,1098,897.0,1.0
129687,403,1687.0,0.0
359990,683,1606.0,1.0
70828,353,755.0,0.0
79714,1088,287.0,1.0
442368,1002,879.0,0.0
321623,1120,250.0,0.0
164937,1404,593.0,1.0
304688,209,293.0,0.0
72294,1279,1606.0,1.0
32164,1694,1621.0,0.0
201955,1509,620.0,1.0
131662,1248,1368.0,0.0
14296,1694,1621.0,1.0
418539,29,1678.0,1.0
235821,1473,859.0,1.0
379215,1193,1453.0,0.0
420271,1051,955.0,1.0
277264,782,1562.0,0.0
177786,1483,561.0,0.0
116256,56,1497.0,0.0
316472,1509,620.0,0.0
251489,619,145.0,0.0
219660,959,1095.0,1.0
294284,884,127.0,1.0
172309,23,640.0,1.0
283492,0,605.0,1.0
270884,1388,1249.0,0.0
199706,1256,879.0,0.0
390854,1179,580.0,0.0
179980,50,312.0,0.0
118720,683,1606.0,1.0
126314,575,1257.0,0.0
255812,74,250.0,1.0
380993,782,1562.0,1.0
200793,884,127.0,1.0
277719,1628,605.0,1.0
215139,586,1519.0,0.0
265810,1277,312.0,1.0
74131,860,1515.0,0.0
48192,209,293.0,0.0
377923,411,561.0,1.0
36372,928,20.0,1.0
188026,951,825.0,0.0
185167,589,1308.0,1.0
56999,892,14.0,0.0
251605,421,1424.0,1.0
158160,35,20.0,1.0
145575,56,1497.0,0.0
164242,637,92.0,1.0
122324,1279,1606.0,1.0
385878,1393,1383.0,1.0
58679,959,1095.0,1.0
158220,218,116.0,0.0
103952,51,955.0,1.0
329311,487,1141.0,1.0
375894,342,500.0,1.0
325073,342,500.0,0.0
395843,862,1667.0,1.0
426031,646,1606.0,0.0
288174,352,859.0,1.0
186993,1090,648.0,1.0
15868,769,587.0,0.0
95426,295,20.0,0.0
393509,1131,799.0,1.0
221737,524,1145.0,0.0
197243,1500,1515.0,0.0
340375,34,1368.0,1.0
127005,421,1424.0,0.0
442725,808,1272.0,1.0
358167,1029,1181.0,1.0
333428,1277,312.0,1.0
273118,1659,825.0,1.0
370360,819,798.0,0.0
260154,683,1606.0,1.0
71823,565,500.0,0.0
363645,530,432.0,1.0
307327,173,788.0,0.0
308458,535,426.0,1.0
331999,984,827.0,0.0
273249,1118,727.0,0.0
270478,1279,1606.0,1.0
29220,1355,312.0,0.0
183389,1477,206.0,0.0
382945,316,605.0,0.0
51378,1344,713.0,0.0
216657,1483,561.0,0.0
280939,390,1546.0,1.0
107619,1339,1534.0,0.0
21970,1051,955.0,1.0
239481,239,1515.0,0.0
364887,1464,745.0,0.0
33358,828,293.0,0.0
43267,1623,1066.0,1.0
314270,1221,1426.0,0.0
339606,279,777.0,1.0
435152,1680,587.0,0.0
173780,491,679.0,1.0
440747,51,955.0,1.0
455449,1219,121.0,1.0
149767,368,901.0,1.0
118752,619,145.0,1.0
388974,1337,116.0,1.0
99596,610,1239.0,1.0
89635,1593,1673.0,1.0
178775,374,131.0,1.0
63928,421,1424.0,0.0
337196,1302,1600.0,1.0
250988,707,561.0,1.0
92271,1240,1546.0,1.0
190463,48,500.0,1.0
396491,333,1497.0,1.0
287480,429,113.0,1.0
181862,792,805.0,0.0
96905,1221,1426.0,0.0
449071,225,593.0,1.0
269273,1529,805.0,0.0
251962,1258,1386.0,1.0
383087,1483,561.0,0.0
155319,1483,561.0,1.0
330649,1186,312.0,0.0
174538,683,1606.0,1.0
202248,637,92.0,1.0
116493,342,500.0,0.0
270383,1500,1515.0,1.0
296448,1483,561.0,1.0
7943,398,1323.0,1.0
366997,936,143.0,0.0
160170,1051,955.0,1.0
15586,1578,1249.0,1.0
116669,1464,745.0,1.0
63068,1167,250.0,1.0
155370,589,1308.0,1.0
318236,769,587.0,1.0
396696,739,1181.0,0.0
81915,427,1313.0,0.0
109661,1049,1606.0,0.0
65580,1279,1606.0,1.0
288834,1135,1329.0,1.0
436694,589,1308.0,1.0
293311,851,587.0,1.0
334401,1043,226.0,1.0
186694,1171,938.0,0.0
215539,342,500.0,0.0
87031,1114,113.0,1.0
299264,1233,1257.0,0.0
33907,707,561.0,0.0
412120,1578,1249.0,0.0
364449,610,1239.0,1.0
55485,1483,561.0,0.0
99117,320,854.0,1.0
229602,1167,250.0,0.0
47232,914,226.0,1.0
301404,0,605.0,1.0
288778,773,1696.0,0.0
6786,342,500.0,1.0
436056,342,500.0,1.0
125831,484,127.0,1.0
141641,683,1606.0,0.0
230842,959,1095.0,1.0
397555,1219,121.0,1.0
212216,683,1606.0,1.0
263385,1483,561.0,1.0
331943,479,520.0,0.0
157822,64,206.0,0.0
367374,1500,1515.0,1.0
71779,356,92.0,1.0
80047,1652,1368.0,0.0
234005,1253,127.0,0.0
391020,1344,713.0,1.0
404763,196,1667.0,1.0
284433,1418,896.0,1.0
259466,1554,1678.0,0.0
40864,1120,250.0,1.0
230075,1279,1606.0,1.0
307941,276,1516.0,1.0
428748,1613,250.0,0.0
264384,1103,1368.0,0.0
291394,1163,561.0,1.0
332054,1255,587.0,0.0
432357,1020,1329.0,1.0
376933,860,1515.0,0.0
305799,1048,1308.0,1.0
399592,1192,955.0,1.0
377519,1186,312.0,1.0
230828,342,500.0,1.0
215063,1509,620.0,1.0
187946,1393,1383.0,1.0
312735,979,1383.0,0.0
340949,1541,968.0,1.0
178108,1694,1621.0,1.0
418203,406,872.0,0.0
377635,1509,620.0,1.0
304645,1059,1696.0,1.0
233479,1378,322.0,0.0
330355,959,1095.0,0.0
61273,1279,1606.0,0.0
307884,1205,580.0,0.0
169389,987,1426.0,1.0
272187,463,250.0,0.0
304277,1483,561.0,0.0
6656,1120,250.0,0.0
336855,333,1497.0,1.0
224583,1318,986.0,0.0
260415,491,679.0,1.0
40870,451,945.0,1.0
3424,330,986.0,0.0
351044,1663,1398.0,0.0
420859,1445,293.0,0.0
182184,1233,1257.0,0.0
394678,1589,1426.0,1.0
121523,816,623.0,0.0
197466,175,1492.0,1.0
402638,1135,1329.0,1.0
446047,618,105.0,1.0
111663,1694,1621.0,0.0
1447,5,1637.0,0.0
179807,1006,1546.0,1.0
228392,1349,121.0,1.0
383625,1049,1606.0,0.0
27159,1135,1329.0,1.0
297721,342,500.0,0.0
437342,217,908.0,1.0
456367,1286,854.0,0.0
236429,818,852.0,0.0
52962,1051,955.0,1.0
79450,196,1667.0,0.0
54135,1483,561.0,0.0
237019,782,1562.0,1.0
136355,242,1531.0,0.0
152734,429,113.0,0.0
260525,1567,1531.0,1.0
41798,1173,805.0,1.0
127290,1375,805.0,0.0
341578,914,226.0,1.0
344862,1279,1606.0,0.0
269192,1417,1329.0,1.0
444603,421,1424.0,1.0
302587,1393,1383.0,0.0
15948,1277,312.0,1.0
317881,1007,485.0,0.0
214385,1114,113.0,0.0
69188,1142,485.0,0.0
82707,1542,745.0,1.0
226192,589,1308.0,1.0
178537,1584,1562.0,1.0
317978,421,1424.0,1.0
144704,242,1531.0,0.0
378637,1613,250.0,0.0
162525,1235,418.0,0.0
167033,484,127.0,0.0
462812,51,955.0,0.0
111830,1483,561.0,0.0
254418,1650,1426.0,1.0
71530,1593,1673.0,1.0
357564,256,1257.0,1.0
257148,535,426.0,1.0
315176,959,1095.0,1.0
294937,988,727.0,0.0
184412,1483,561.0,0.0
200082,1248,1368.0,0.0
341701,1192,955.0,1.0
21178,342,500.0,0.0
168404,421,1424.0,0.0
25680,1650,1426.0,0.0
407828,421,1424.0,0.0
228076,1279,1606.0,0.0
323204,704,1426.0,0.0
24059,1148,1696.0,1.0
370819,405,351.0,0.0
38402,1051,955.0,0.0
60715,1163,561.0,1.0
254563,1694,1621.0,0.0
361941,429,113.0,0.0
96924,56,1497.0,0.0
144015,1343,25.0,1.0
122233,1434,1136.0,0.0
370653,82,1125.0,0.0
218589,196,1667.0,0.0
265625,1404,593.0,1.0
70414,628,149.0,1.0
410804,1051,955.0,0.0
400370,928,20.0,0.0
231243,29,1678.0,1.0
427018,1325,1684.0,0.0
287972,1511,409.0,0.0
275079,1248,1368.0,1.0
171959,1355,312.0,1.0
25012,242,1531.0,1.0
192910,348,1499.0,1.0
452688,1051,955.0,0.0
174489,224,1487.0,1.0
37863,47,381.0,1.0
122005,1694,1621.0,1.0
307158,739,1181.0,0.0
373401,1317,897.0,1.0
416521,1248,1368.0,0.0
131387,124,104.0,0.0
237623,792,805.0,1.0
73894,320,854.0,1.0
203043,1163,561.0,0.0
36810,959,1095.0,1.0
13464,606,810.0,0.0
362914,317,314.0,0.0
61098,358,1257.0,1.0
33241,914,226.0,1.0
439424,1375,805.0,0.0
234260,1666,1684.0,1.0
45330,1605,1531.0,0.0
171924,1051,955.0,1.0
20710,1221,1426.0,1.0
291317,1623,1066.0,0.0
249343,792,805.0,0.0
206234,160,605.0,0.0
265680,196,1667.0,0.0
29486,1002,879.0,1.0
52439,1387,933.0,1.0
57171,1078,1249.0,1.0
179086,1429,593.0,1.0
382572,48,500.0,0.0
420631,782,1562.0,1.0
353499,1639,1181.0,1.0
82771,1087,622.0,1.0
392533,64,206.0,0.0
45707,1483,561.0,0.0
23570,1697,623.0,0.0
98012,381,1482.0,1.0
109786,1646,114.0,1.0
2142,1135,1329.0,1.0
88757,1277,312.0,1.0
382387,1613,250.0,0.0
260539,124,104.0,0.0
163829,1509,620.0,1.0
367595,1279,1606.0,1.0
438394,1554,1678.0,0.0
327633,1643,1386.0,0.0
248566,445,1308.0,1.0
233203,1205,580.0,1.0
222695,142,9.0,1.0
244156,58,766.0,0.0
190515,546,250.0,0.0
399531,373,340.0,1.0
13169,424,341.0,0.0
259962,1192,955.0,1.0
413250,914,226.0,1.0
58018,1126,905.0,0.0
83199,988,727.0,0.0
411493,196,1667.0,1.0
354484,1542,745.0,1.0
255708,1317,897.0,1.0
87557,683,1606.0,1.0
351912,1188,1497.0,0.0
373384,373,340.0,0.0
216425,1219,121.0,1.0
37254,47,381.0,1.0
463989,959,1095.0,0.0
119904,959,1095.0,0.0
11575,1303,252.0,1.0
27442,1221,1426.0,0.0
389838,792,805.0,1.0
35585,1120,250.0,0.0
136903,1359,1215.0,0.0
15677,532,945.0,1.0
204508,1584,1562.0,1.0
148707,1254,520.0,1.0
312357,730,1482.0,1.0
211397,1163,561.0,1.0
351397,1364,933.0,1.0
144149,1393,1383.0,1.0
2711,411,561.0,1.0
76426,445,1308.0,1.0
186660,158,1621.0,0.0
156231,1248,1368.0,1.0
238975,1248,1368.0,0.0
232533,1192,955.0,0.0
293701,1483,561.0,0.0
403716,405,351.0,0.0
252222,342,500.0,1.0
413689,48,500.0,0.0
274947,683,1606.0,0.0
79659,1535,727.0,0.0
360173,1483,561.0,1.0
144622,610,1239.0,0.0
302563,48,500.0,1.0
90941,242,1531.0,1.0
134992,579,1371.0,1.0
26616,35,20.0,0.0
64253,683,1606.0,0.0
201776,769,587.0,1.0
319037,1279,1606.0,0.0
342714,618,105.0,1.0
215591,1135,1329.0,1.0
180462,589,1308.0,0.0
310477,1192,955.0,1.0
247601,1384,1458.0,1.0
389625,999,1621.0,0.0
44319,1173,805.0,1.0
124065,684,1041.0,1.0
124498,985,1502.0,0.0
263258,202,1008.0,0.0
245985,555,104.0,1.0
43945,1409,1174.0,1.0
97454,1279,1606.0,1.0
374698,421,1424.0,1.0
456005,1051,955.0,1.0
152433,1173,805.0,1.0
266658,741,362.0,0.0
129972,1279,1606.0,1.0
385769,532,945.0,1.0
49079,1002,879.0,1.0
404156,227,602.0,1.0
97812,342,500.0,0.0
224173,849,1281.0,0.0
430102,1173,805.0,1.0
82042,1051,955.0,0.0
289486,959,1095.0,1.0
95467,1483,561.0,1.0
207825,1509,620.0,1.0
349319,816,623.0,1.0
73019,1051,955.0,0.0
460188,1051,955.0,1.0
176995,50,312.0,1.0
332629,1120,250.0,1.0
322810,290,207.0,1.0
280328,589,1308.0,1.0
52815,1173,805.0,1.0
151444,656,1125.0,0.0
86936,342,500.0,0.0
68846,1607,593.0,0.0
175907,1421,105.0,1.0
322024,739,1181.0,0.0
322501,1191,61.0,1.0
170320,1589,1426.0,0.0
113470,225,593.0,1.0
10809,208,33.0,0.0
325372,195,1079.0,0.0
375169,1589,1426.0,1.0
466798,196,1667.0,0.0
178191,337,653.0,0.0
268883,1529,805.0,1.0
341328,67,835.0,1.0
155196,928,20.0,1.0
150871,535,426.0,0.0
147408,578,1278.0,0.0
75296,84,1308.0,0.0
88383,1567,1531.0,0.0
319941,503,1604.0,0.0
403245,167,1066.0,0.0
394608,1051,955.0,0.0
260176,1511,409.0,0.0
377008,333,1497.0,0.0
359786,1355,312.0,0.0
342,646,1606.0,0.0
110151,921,143.0,1.0
391084,1580,441.0,0.0
101128,687,933.0,1.0
367346,1393,1383.0,1.0
80129,646,1606.0,1.0
12217,1375,805.0,0.0
97307,228,1482.0,0.0
8913,1298,335.0,1.0
396732,1473,859.0,1.0
289922,707,561.0,0.0
127635,356,92.0,0.0
268335,1051,955.0,1.0
368328,56,1497.0,0.0
77267,589,1308.0,1.0
148220,1188,1497.0,0.0
463137,703,1531.0,1.0
428651,1186,312.0,0.0
348021,1477,206.0,0.0
2288,333,1497.0,0.0
90219,1173,805.0,1.0
210140,1480,1398.0,0.0
309538,523,593.0,0.0
157879,959,1095.0,0.0
36868,928,20.0,1.0
272770,818,852.0,1.0
416769,343,1290.0,1.0
108618,48,500.0,0.0
4287,282,113.0,0.0
266061,333,1497.0,0.0
357054,1018,1331.0,0.0
162641,606,810.0,1.0
303855,628,149.0,1.0
141921,999,1621.0,0.0
184382,1522,1009.0,0.0
337073,65,293.0,0.0
6881,928,20.0,1.0
144869,342,500.0,0.0
426351,959,1095.0,0.0
142132,48,500.0,0.0
22255,769,587.0,1.0
47124,558,92.0,1.0
21117,1051,955.0,1.0
93872,1221,1426.0,0.0
33899,1375,805.0,1.0
8364,979,1383.0,0.0
300695,806,1497.0,0.0
170403,1402,250.0,1.0
96968,779,1669.0,0.0
46130,1483,561.0,1.0
381653,491,679.0,1.0
299592,35,20.0,0.0
77587,1135,1329.0,1.0
464286,29,1678.0,1.0
12040,491,679.0,1.0
214687,535,426.0,1.0
429094,973,20.0,0.0
305656,1051,955.0,1.0
168655,567,605.0,0.0
256721,195,1079.0,1.0
224625,421,1424.0,1.0
217834,342,500.0,1.0
163013,1578,1249.0,0.0
253981,1051,955.0,0.0
75141,1485,250.0,0.0
265165,1059,1696.0,0.0
179788,238,250.0,0.0
398579,1167,250.0,1.0
232518,84,1308.0,0.0
95185,1584,1562.0,0.0
211243,1135,1329.0,1.0
379796,646,1606.0,0.0
67814,646,1606.0,1.0
37029,1483,561.0,1.0
327740,282,113.0,0.0
297066,1020,1329.0,0.0
444901,5,1637.0,0.0
326436,1402,250.0,0.0
311108,1051,955.0,0.0
249114,1221,1426.0,0.0
207430,959,1095.0,1.0
463385,928,20.0,0.0
229808,884,127.0,0.0
416979,1613,250.0,1.0
57268,1526,1621.0,1.0
144948,624,871.0,1.0
32843,646,1606.0,0.0
31619,1011,745.0,0.0
233243,1026,351.0,1.0
332761,1483,561.0,0.0
61784,928,20.0,0.0
282933,1089,1621.0,1.0
406529,333,1497.0,1.0
239884,959,1095.0,1.0
3499,342,500.0,0.0
458949,94,1330.0,1.0
218531,1483,561.0,0.0
316779,1120,250.0,0.0
459315,637,92.0,0.0
4442,1529,805.0,0.0
216504,1421,105.0,1.0
209593,754,1566.0,1.0
49384,1385,1202.0,1.0
428580,1188,1497.0,0.0
420960,1529,805.0,1.0
266900,1650,1426.0,1.0
224623,769,587.0,0.0
262963,1483,561.0,0.0
319680,858,1426.0,1.0
457942,1509,620.0,1.0
357367,1017,605.0,0.0
65091,565,500.0,1.0
392361,195,1079.0,0.0
461686,1037,402.0,1.0
332816,1277,312.0,1.0
195752,1302,1600.0,1.0
152262,1098,897.0,1.0
59586,126,871.0,1.0
420690,924,1416.0,0.0
294654,1376,480.0,0.0
329542,1483,561.0,0.0
453235,124,104.0,0.0
148061,1477,206.0,0.0
356048,202,1008.0,1.0
277423,126,871.0,0.0
360825,84,1308.0,1.0
107367,1625,1141.0,0.0
314930,589,1308.0,0.0
253706,1404,593.0,0.0
324194,849,1281.0,1.0
252796,936,143.0,1.0
123696,936,143.0,1.0
185668,1002,879.0,1.0
52616,249,164.0,0.0
460685,828,293.0,0.0
48987,254,866.0,1.0
212006,35,20.0,1.0
328696,1051,955.0,1.0
175299,196,1667.0,1.0
382499,1642,121.0,0.0
452852,683,1606.0,1.0
265113,195,1079.0,0.0
66860,737,854.0,1.0
113641,618,105.0,1.0
442721,1555,1249.0,1.0
162970,1258,1386.0,0.0
362493,410,894.0,0.0
85293,342,500.0,0.0
222101,414,206.0,1.0
335193,478,105.0,1.0
338495,279,777.0,0.0
332107,1375,805.0,0.0
443939,550,1139.0,1.0
368244,997,187.0,0.0
119736,57,314.0,1.0
415160,1253,127.0,1.0
440468,1584,1562.0,1.0
99081,1221,1426.0,1.0
220003,973,20.0,1.0
206664,163,945.0,1.0
430397,1047,127.0,0.0
372941,1567,1531.0,1.0
46984,1244,500.0,1.0
35613,251,194.0,0.0
119000,463,250.0,0.0
315493,546,250.0,0.0
364751,1051,955.0,0.0
145341,1605,1531.0,0.0
84310,1051,955.0,0.0
36956,1393,1383.0,1.0
158273,1151,781.0,1.0
356981,1248,1368.0,0.0
219488,477,1596.0,0.0
419468,1384,1458.0,0.0
256134,1393,1383.0,0.0
128146,1317,897.0,1.0
65215,715,402.0,1.0
237021,1279,1606.0,1.0
36121,35,20.0,1.0
25332,1404,593.0,1.0
265896,578,1278.0,1.0
52022,1006,1546.0,1.0
318421,1020,1329.0,1.0
399031,683,1606.0,1.0
241950,1567,1531.0,1.0
210242,1542,745.0,0.0
389525,1048,1308.0,1.0
36606,1221,1426.0,1.0
335331,35,20.0,1.0
317679,342,500.0,0.0
256146,147,714.0,1.0
434289,1483,561.0,1.0
390028,1393,1383.0,0.0
362340,1483,561.0,1.0
289138,617,131.0,1.0
228910,499,986.0,0.0
95196,678,250.0,1.0
59507,1320,879.0,0.0
182601,1570,351.0,1.0
255344,1500,1515.0,1.0
86415,1393,1383.0,0.0
249280,1049,1606.0,0.0
14803,494,768.0,0.0
196398,914,226.0,1.0
224295,1103,1368.0,1.0
411509,1248,1368.0,1.0
340010,565,500.0,0.0
260581,959,1095.0,1.0
336872,1244,500.0,1.0
61972,924,1416.0,0.0
158829,1584,1562.0,1.0
367755,1167,250.0,0.0
205143,368,901.0,1.0
4606,959,1095.0,1.0
209849,1558,323.0,0.0
368411,523,593.0,0.0
32648,1233,1257.0,1.0
115785,921,143.0,0.0
349594,769,587.0,0.0
243980,683,1606.0,1.0
294807,1544,679.0,1.0
324734,637,92.0,1.0
286683,499,986.0,0.0
177522,1279,1606.0,1.0
385014,1186,312.0,1.0
153125,1135,1329.0,1.0
64377,1393,1383.0,1.0
240746,1059,1696.0,0.0
361187,572,1066.0,0.0
105060,1573,14.0,0.0
249928,1279,1606.0,0.0
205777,84,1308.0,1.0
108457,1186,312.0,0.0
74377,988,727.0,1.0
333185,242,1531.0,1.0
30974,959,1095.0,0.0
331910,342,500.0,1.0
446248,876,580.0,1.0
201799,586,1519.0,1.0
170751,333,1497.0,1.0
20407,1167,250.0,1.0
231639,828,293.0,0.0
197659,35,20.0,0.0
361554,1173,805.0,1.0
206880,5,1637.0,0.0
279976,683,1606.0,1.0
235224,1279,1606.0,1.0
30345,120,897.0,1.0
416440,1135,1329.0,0.0
74020,834,1056.0,0.0
94234,819,798.0,1.0
182230,196,1667.0,1.0
127822,964,1326.0,0.0
333089,267,1566.0,1.0
371585,1589,1426.0,1.0
394458,1593,1673.0,1.0
138973,204,933.0,1.0
390182,928,20.0,1.0
49576,1120,250.0,1.0
175859,499,986.0,0.0
53402,1674,1420.0,1.0
246318,1051,955.0,1.0
316114,387,1621.0,0.0
71590,1120,250.0,0.0
283541,1625,1141.0,0.0
333588,1213,955.0,1.0
241782,1120,250.0,0.0
407103,406,872.0,1.0
165621,1051,955.0,0.0
455887,782,1562.0,0.0
198436,1393,1383.0,0.0
159117,618,105.0,1.0
338395,793,1066.0,1.0
201047,35,20.0,0.0
243169,589,1308.0,1.0
